"","URN","not_sustained_rate","urban_rural","denomination","FSM","White_British","region_name","school_name","headcount","susp_rate","KS2_history","Attainment_8","Progress_8","selective","POSTCODE","post16","school_sex","type","Ofsted_rating","sen_support","LSOA11","IMD"
"1809",136206,13.1147540983607,"(England/Wales) Urban city and town","No religious character","41.4","74.2","South West","St Aldhelm's Academy",833,40.21609,101.1,"35.1",-0.58,0,"BH12 4HS",0,"Mixed","Academy sponsor led","Good",24.5260663507109,"E01015380",5
"1810",136850,1.12994350282486,"(England/Wales) Urban city and town","No religious character","4.4","74.8","South West","Poole Grammar School",1198,1.91987,113,"71",0.5,1,"BH17 9JU",1,"Boys","Academy converter","Good",13.0942452043369,"E01015414",7
"1811",113893,6.21468926553672,"(England/Wales) Urban city and town","Other Christian Faith","15.7","75.1","South West","St Edward's Roman Catholic/Church of England School, Poole",1074,3.91061,102.9,"44.8",0.08,0,"BH15 3HY",1,"Mixed","Voluntary aided school","Good",16.4179104477612,"E01015449",3
"1812",136574,1.97044334975369,"(England/Wales) Urban city and town","No religious character","15.8","88.5","South West","Corfe Hills School",937,44.29029,103,"43.9",0.01,0,"BH18 9BG",1,"Mixed","Academy converter","Good",12.4468085106383,"E01015401",10
"1813",136649,4.52830188679245,"(England/Wales) Urban city and town","No religious character","17.1","86.2","South West","Twynham School",1781,6.2886,105.2,"49.8",0.15,0,"BH23 1JF",1,"Mixed","Academy converter","Good",13.5516657255788,"E01020367",9
"1814",112991,8.5,"(England/Wales) Urban city and town","No religious character","31.8","67.2","East Midlands","Murray Park Community School",1160,3.53448,102.7,"44",0.02,0,"DE3 9LL",0,"Mixed","Foundation school","Good",27.1157167530225,"E01013558",8
"1815",135120,5.48780487804878,"(England/Wales) Urban city and town","No religious character","22.4","30.5","East Midlands","Landau Forte College",1237,3.39531,105.7,"54.1",0.43,0,"DE1 2LF",1,"Mixed","Academy sponsor led","Outstanding",8.38709677419355,"E01013523",2
"1816",137911,3.18181818181818,"(England/Wales) Urban city and town","No religious character","19.5","79.4","East Midlands","Allestree Woodlands School",1406,3.05832,105.4,"46.8",-0.21,0,"DE22 2LW",1,"Mixed","Academy converter","Good",10.3960396039604,"E01013465",10
"1817",147685,20,"(England/Wales) Urban city and town","No religious character","31.5","52.5","East Midlands","UTC Derby Pride Park",371,5.39084,102.1,"34.5",-0.73,0,"DE24 8PU",1,"Mixed","University technical college","Good",11.0497237569061,"E01033172",2
"1818",148639,1.49253731343284,"(England/Wales) Urban city and town","No religious character","17.4","73.3","East Midlands","Chellaston Academy",1805,4.93075,105.7,"48.4",-0.08,0,"DE73 5UB",1,"Mixed","Academy converter","Good",10.7360265633647,"E01033170",8
"1819",112951,20.3125,"(England/Wales) Urban city and town","No religious character","41.4","16.4","East Midlands","The Bemrose School",1400,0.64286,96,"29.5",-0.4,0,"DE22 3HU",1,"Mixed","Foundation school","Good",10.5932203389831,"E01013455",3
"1820",148538,15.606936416185,"(England/Wales) Urban city and town","No religious character","58","45.6","East Midlands","Alvaston Moor Academy",878,93.16629,100.3,"30.1",-0.88,0,"DE24 0AN",1,"Mixed","Academy sponsor led","Requires improvement",16.7045454545455,"E01013503",4
"1821",143934,6.73076923076923,"(England/Wales) Urban city and town","No religious character","29.5","80.5","East Midlands","Lees Brook Academy",1103,9.79148,103.2,"41.9",-0.24,0,"DE21 4QX",1,"Mixed","Academy converter","Good",16.4383561643836,"E01013506",6
"1822",138622,3.75,"(England/Wales) Urban city and town","Roman Catholic","27.6","36.1","East Midlands","Saint Benedict, A Catholic Voluntary Academy",1452,7.57576,104.2,"49.3",0.31,0,"DE22 1JD",1,"Mixed","Academy converter","Good",11.6071428571429,"E01013529",6
"1823",145327,9.57854406130268,"(England/Wales) Urban city and town","No religious character","30.6","18.9","East Midlands","Derby Moor Spencer Academy",1721,2.32423,103.2,"44.1",-0.06,0,"DE23 2FS",1,"Mixed","Academy converter","Good",8.54154561301569,"E01013490",7
"1824",112956,2.73037542662116,"(England/Wales) Urban city and town","No religious character","12.7","30.7","East Midlands","Littleover Community School",1814,2.31533,105.7,"53.8",0.46,0,"DE23 4BZ",1,"Mixed","Community school","Good",7.13495575221239,"E01013544",10
"1825",143853,8.9622641509434,"(England/Wales) Urban city and town","No religious character","41.4","73.1","East Midlands","Noel-Baker Academy",1158,20.37997,103.1,"35.2",-0.85,0,"DE24 0BR",0,"Mixed","Academy sponsor led","Good",15.573053368329,"E01013499",2
"1826",144066,13.7254901960784,"(England/Wales) Urban city and town","No religious character","52.2","74.4","East Midlands","Da Vinci Academy",718,44.70752,100.3,"32.2",-0.64,0,"DE21 4ET",0,"Mixed","Academy sponsor led","Good",10.126582278481,"E01013532",3
"1827",136634,7.8740157480315,"(England/Wales) Urban city and town","No religious character","19.4","87","East Midlands","West Park School",1476,1.69377,104.6,"46.5",-0.1,0,"DE21 7BT",0,"Mixed","Academy converter","Good",12.9781420765027,"E01013596",9
"1828",145132,12.7659574468085,"(England/Wales) Urban city and town","No religious character","51.1","25","East Midlands","City of Derby Academy",969,14.75748,100.6,"32.3",-0.56,0,"DE24 3AR",0,"Mixed","Academy sponsor led","Requires improvement",15.2879581151832,"E01013588",2
"1829",136010,5.32544378698225,"(England/Wales) Urban city and town","No religious character","31.5","90.2","South East","Medina College",1284,22.50779,101.2,"33.8",-0.69,0,"PO30 2DX",1,"Mixed","Foundation school","Requires improvement",15.9716758457907,"E01017310",5
"1830",135552,4.65116279069767,"(England/Wales) Urban city and town","Other Christian Faith","26.2","85.1","South East","Christ The King College",1076,2.97398,103.1,"41.3",-0.32,0,"PO30 5QT",1,"Mixed","Voluntary aided school","Requires improvement",14.804469273743,"E01017293",9
